page_id,title,gender,date_of_birth
7826,Mikheil Saakashvili,Unknown,ogwomukaaga 1967
7835,Joyce Bagala,Female,
7836,Shamim Malende,Female,1986
7837,Persis Namuganza,Unknown,
7838,User:Alvinategyeka/Beti Kamya-Turwomwe,Female,
7839,Beti Kamya,Female,
7840,Hellen Obura,Unknown,
7841,User:Alvinategyeka/Hellen Obura,Unknown,
7842,Angelline Osegge,Female,Ogwekkuminebiri 8 1969
7844,Barbara Nekesa Oundo,Female,
7845,Evelyn Anite,Female,musenene 11 1984
7846,Edith Mary Bataringaya,Unknown,mu 1929
7847,Anita Among,Female,Ogwekkuminoogumu 23 1973
7848,Radoje Domanović,Unknown,
7849,Sarah Najjuma,Female,
7850,Agnes Taaka,Female,Ogwokuna 3 1980
7851,Florence Akiiki Asiimwe,Female,
7852,Dorcus Acen,Female,
7853,Mary Karooro Okurut,Female,Ogwekkuminebiri 8 1954
7854,Winnie Byanyima,Unknown,Gatonya 13 1959
7856,Anna Ebaju Adeke,Female,Ogwekkuminogumu 27 1991
7857,Idah Nantaba,Female,
7858,Lilian Aber,Female,
7859,Veronica Namaganda Nanyondo,Female,
7861,Janet Grace Akech Okori-Moe,Female,Ogwomenda 3 1966
7862,Agnes Atim Apea,Unknown,
7863,Betty Louke Chelain,Female,
7864,Susan Achola Engola,Female,
7865,Resty Nanteza,Female,
7866,Ndamira Atwakire,Unknown,
7867,Agnes Nandutu,Female,
7868,Mary Paula Kebirungi Turyahikayo,Female,
7869,Betty Ethel Naluyima,Unknown,
7870,Christine Tubo Nakwang,Female,
7871,Emma Boona,Female,
7872,Norah Bigirwa-Nyendwoha,Unknown,
7873,Juliet Kyinyamatama Suubi,Unknown,
7874,Kevin Ojinga Kaala,Unknown,
7875,Maria Mutagamba,Female,
7876,Winnie Nanyondo,Unknown,
7877,Pamela Nasiyo Kamugo,Female,
7878,Nandagire Christine Ndiwalana,Unknown,
7879,Betty Oyella Bigombe,Female,
7880,Annet Katusiime Mugisha,Female,1974
7881,Hellen Auma Wandera,Female,
7882,Ndamira Catherine Atwikiire,Female,
7883,Janet Museveni,Female,Ogwomukaaga 24 1948
7884,Aisha Sekindi,Female,Ogwekkumineebiri 4 1970
7887,Grace Akello,Female,mu 1950
7888,Cissy Dionizia Namujju,Female,
7889,Hanifa Kawooya,Unknown,
7890,Irene Muloni,Female,
7891,Janat Mukwaya,Unknown,
7892,Victoria Sekitoleko,Female,
7893,Zomura Manezo,Female,
7894,Judith Peace Achan,Female,April 23 1983
7895,Agnes Acibu,Female,
7896,Sarah Kayaki Netalisile,Female,
7897,Victorious Zawedde,Female,
7898,Hanifa Nabukeera,Female,
7911,User talk:Nzewasajja,Unknown,
7912,OKUBAKA OMUPIIRA,Unknown,
7918,Robinah Nabbanja,Female,Ogw'ekkumin'ogumu 17 1969
7924,Esther Mbulakubuza Mbayo,Female,
7925,Jesca Ababiku,Female,
7926,Beatrice Were,Male,1966
7927,Joel Ssenyonyi,Female,
7929,Abdu Katuntu,Unknown,Ogwekkumineebiri 12 1965
7930,Sarah Achieng Opendi,Unknown,
7931,Edward Rugumayo,Unknown,
7932,Francis K. Butagira,Unknown,
7933,Francis Zaake,Unknown,
7934,John Bowes Griffin,Female,Ogwokuna 19 1903
7935,James Wapakhabulo,Unknown,
7936,Meddie Kaggwa,Male,Ogwokuna 15 1955
7937,Ssekabaka Mutesa II,Female,mu 1956
7938,Frank Tumwebaze,Unknown,
7939,Ow'ekitiibwa Edward Kiwanuka Ssekandi,Female,
7940,Thomas Tayebwa,Unknown,Ogwekkuminoogumu 10 1980
7941,Rebecca Kadaga,Female,
7942,Jacob Oulanyah,Unknown,
7943,Monica Musenero,Female,mu 1965
7944,Diana Atwine,Female,mu 1973
7945,Aggrey Bagiire,Unknown,
7946,Abed Bwanika,Unknown,Ogwomunaana 1 1967
7947,Moses Ali,Male,ogwokuna 5 1939
7948,Moses Magogo Hassim,Unknown,
7949,Charles Bakkabulindi,Unknown,
7950,Chris Baryomunsi,Unknown,
7951,Jeje Odongo,Unknown,
7952,Musa Ecweru,Unknown,Ogwekkuminogumu 25 1964
7953,Michael Lulume Bayigga,Unknown,Ogwokutaano 1 1970
7954,Peter Elwelu,Unknown,
7955,Vincent Ssempijja,Unknown,
7956,Ruth Nankabirwa,Female,
7957,David Bahati,Male,Ogwomukaaga 8 1973
7958,Mary Begumisa,Female,1976
7959,Harriet Businge,Female,
7960,Denis Obua,Unknown,Ogwokubiri 6 1980
7961,Oliver Katwesigye Koyekyenga,Female,
7962,Justine Lumumba Kasule,Female,
7963,Ebyafaayo bya Uganda,Unknown,
7964,Henry Oryem Okello,Unknown,
7965,Betty Amongi,Female,
7966,National Resistance Movement,Unknown,
7967,Jessica Alupo,Female,
7968,Jim Muhwezi,Unknown,Ogwomunaana 23 1950
7970,Allan Ssewanyana,Female,
7971,Muhammad Nsereko,Unknown,Ogwomunaana 25 1981
7972,Wilson Muruli Mukasa,Unknown,ogwomusanvu 5 1952
7973,Ibrahim Ssemujju Nganda,Unknown,
7974,Nanyondo Birungi Carolyn,Female,muwakanya 12 1975
7975,"Muwenda Mutebi II, Kabaka wa Buganda",Female,
7976,Theodore Ssekikubo,Unknown,Ogwomunaana 20 1969
7977,Joyce Nabbosa Ssebugwawo,Unknown,
7978,Nandala Mafabi,Male,Ogusooka 17 1966
7980,Jane Aceng,Female,Ogwokutaano 11 1968
7982,Sam Mangusho Cheptoris,Female,Ogwekkumineebiri 12 1949
7983,Kahinda Otafiire,Male,
7984,Katumba Wamala,Male,ogwekkuminoogumu 19 1956
7985,Raphael Magyezi,Unknown,
7986,Amama Mbabazi,Male,Ogwolubereberye 16 1949
7987,Hilary Onek,Male,ogwokutaano 5 1948
7988,Kiryowa Kiwanuka,Male,
8003,Buvuma Island,Unknown,
8004,Mpanga Central Forest Reserve,Unknown,
8005,Ennyanja Wamala,Unknown,
8009,Mabira Forest,Unknown,
8063,Sembuya Nalumu Mary,Female,Ogusooka 2 1943
8064,Yafesi Magulu,Unknown,
8068,John Chrysestom Muyingo,Male,Ogw'okubiri 22 1960
8069,User:Harriet Nambooze/James Mulwana,Unknown,
8071,User:Solomon Suubi,Unknown,Ogwomusanvu 14 1994
8078,Rita Atukwasa,Female,
8079,Dorothy Nyakato,Female,
8080,Jackie Senyonjo,Female,
8081,Margaret Aachilla Aleper,Female,Ogwekkuminogumu 22 1963
8082,Sheila Nduhukire,Female,Ogwokuna 23 1990
8083,Alice Alaso,Female,Ogusooka 21 1969
8084,Lydia Mugambe,Unknown,
8085,Victoria Nalongo Namusisi,Female,
8086,Stella Isodo Apolot,Unknown,
8087,Baby Gloria,Male,Ogwekkumi 28 2001
8089,Alice Kaboyo,Female,
8090,User:Kalemabenjamin,Female,
8092,Mugisha Muhanga Margaret,Female,
8093,Sylvia Muzila,Female,
8094,Sylvia Nayebale,Female,
8095,Grace Kaudha,Female,
8096,Hellen Adoa,Female,January 25 1977
8097,Namaganda Susan,Female,
8098,Rose Mwebaza,Unknown,
8099,Lucy Achiro Otim,Female,Mutunda 28 1986
8100,Judith Adong,Female,
8101,Kyokuhairwa Kyaka Vicky,Female,
8102,Namaganda Christine,Female,mu 1986
8103,Kiboijana Margaret N,Unknown,
8104,Jane Frances Kuka,Female,
8105,Susan Muwonge,Female,mu 1977
8106,Derrick Nyeko,Male,1992
8107,Angella Katatumba,Unknown,Ogwokubiri 21 1989
8108,Cerinah Nebanda,Unknown,
8109,Victoria Kakoko Sebagereka,Female,
8110,Joana Ntaja,Female,
8112,Angelina Wapakhabulo,Male,
8113,Ampaire Shakira,Female,
8115,Rosebell Kagumire,Female,
8116,Babungi Josephine Bebona,Female,
8118,Ruth Molly Lematia,Unknown,
8119,Nvumetta Ruth Kavuma,Female,
8122,Doreen Kabareebe,Female,
8123,Baskin-Robbins,Unknown,
8124,Kiiza Eron,Unknown,
8125,Primah Kwagala,Female,
8126,Eddy Yawe,Unknown,Ogwokutaano 11 1980
8127,Kayinga Muddu Yisito,Unknown,
8128,Immaculate Akello,Unknown,mu 1996
8129,Aamito Lagum,Female,Ogwekkumineebiri 3 1992
8130,Hilda Flavia Nakabuye,Unknown,Ogwokuna 15 1997
8131,Franc Kamugyisha,Male,Ogwokusatu 19 1992
8147,Frida Kahlo,Unknown,
8164,Jessica Nabongo,Female,
8165,Apollo Makubuya,Unknown,
8166,Ada Ehi,Female,
8167,Denis Zakaria,Male,Ogwekkuminoogumu 20 1996
8168,Lawrence Mulindwa,Unknown,mu 1965
8169,Armando Broja,Unknown,Ogwomwenda 10 2001
8170,Gavi (footballer),Unknown,
8171,Eleanor Nabwiso,Male,
8172,Ian Wright,Male,
8173,Robin van Persie,Unknown,ogw'omunaana 6 1983
8174,Kieran Tierney,Male,Ogwomusanvu 5 1997
8175,Sinach,Unknown,
8176,Robert Kayanja,Male,
8179,Florence Nakiwala Kiyingi,Female,mu 1972
8180,Virgil van Dijk,Female,
8181,Jennifer Ayoo,Female,
8182,David Obua,Unknown,Ogwokuna 10 1984
8183,Vinka (musician),Male,Ogwomukaaga 27 1994
8184,Grace Bantebya Kyomuhendo,Female,
8185,WOUGNET,Unknown,
8186,Susan Okalany,Unknown,
8187,Bethlehem Tilahun Alemu,Female,1980
8188,Shilla Omuriwe Buyungo,Female,
8189,Melia Likoswe Douglas,Female,
8190,Maurice Peter Kagimu Kiwanuka,Unknown,
8191,Fortunate Nantongo,Female,mu 1996
8192,Pauline Kemirembe Kyaka,Female,
8193,Tereza Mbire,Female,
8194,Mathew Nabwiso,Unknown,
8195,Azawi,Female,Ogwokubiri 2 1996
8196,Florence Kabugho,Female,
8197,Alex Mukulu,Unknown,Ogwekkuminogumu 20 1954
8198,Linda Agnes Auma,Female,
8199,Jovanice Twinobusingye,Female,
8200,Prudence Ukkonika,Female,
8201,Christine Nakimwero Kaaya,Female,1979
8202,Gloria Nansubuga,Female,
8203,Lilongwe,Unknown,
8204,Flavia Nabagabe Kalule,Female,
8205,Brenda Namukuta,Female,
8206,Glanis Changachirere,Unknown,
8207,Patience Nkunda Kinshaba,Female,
8208,Sugra Visram,Male,
8209,Shatsi Musherure Kutesa,Female,
8210,Justina Geraldine Najjuka,Female,
8212,Aloisea Inyumba,Unknown,
8213,Damilola Odufuwa,Unknown,
8214,Iriama Rose,Female,
8216,Ebyafaayo by'olugoye lw'embaga,Unknown,
8219,John Blaq,Male,Ogwomusanvu 16 1996
8221,Pius Adome,Unknown,
8222,Tarsis Orogot,Unknown,
8223,Davis Kamoga,Unknown,
8224,Abraham Chepkirwok,Unknown,
8225,Julius Achon,Female,Ogwekkuminebiri 12 1976
8226,Ronald Musagala,Unknown,Ogwekkuminebiri 16 1992
8227,Boban Zirintusa,Unknown,
8228,Daniel Kipkorir Chepyegon,Unknown,
8229,Stephen Kissa,Unknown,
8230,Lillian Mutuuzo,Unknown,
8231,Moses Ndiema Kipsiro,Unknown,Ogwomwenda 2 1986
8232,Hassan Wasswa,Unknown,Ogw'okubiri 14 1988
8234,Jimmy Katumba,Female,mu 1955
8235,Jacob Kiplimo,Unknown,
8236,Annet Nandujja,Unknown,mu 1959
8237,Esther and Ezekiel,Female,
8238,Hannz Tactiq,Male,
8239,Ekisaawe ky'okuyimba mu Uganda,Male,
8240,Faith Kakembo,Unknown,Ogwokuna 16 1985
8241,Angela Kalule,Female,Ogwokubiri 18 1977
8242,Giovanni Kiyingi,Unknown,
8243,Irene Ntale,Female,Ogw'oluberyeberye 30 1989
8244,Uganda Broadcasting Corporation,Unknown,
8245,Cindy Sanyu,Male,mu 1985
