page_id,title,country_of_origin
9618,Catherine Apalat,Uganda
9620,Catherine Kyobutungi,Uganda
9621,Catherine Lamwaka,Uganda
9622,Agnes Namyalo,Uganda
9623,Barbie Kyagulanyi,Uganda
9624,Mary Babirye Kabanda,Uganda
9625,Catherine Namono,Uganda
9627,Cathy Patra,Uganda
9629,Charity Bainababo,Uganda
9630,Charity Basaza Mulenga,Uganda
9631,Alum Sandra Ogwang Santa,Uganda
9632,China Keitetsi,Uganda
9633,Akite Agnes,Uganda
9635,Amina Nababi (Musambi wa Mupiira),Uganda
9636,Asinansi Nyakato,Uganda
9637,Christine Alalo,Uganda
9638,Alengot Oromait,Uganda
9639,Christine Amongin Aporu,Uganda
9642,Akello Judith Franca,Uganda
9645,Christine Apolot,Uganda
9646,Concy Aciro,Uganda
9648,Annet Nyakecho,Uganda
9651,Barbara Mulwana,Uganda
9652,Benna Namugwanya,Uganda
9653,Crystal Newman,Uganda
9654,Alleluya Rosette Ikote,Uganda
9655,Sanyu Robinah Mweruka,Uganda
9656,Daisy Ejang,Uganda
9657,Daisy Nakaziro,Uganda
9660,Safia Juuko Nalule,Uganda
9661,Saidati Kemigisha,Uganda
9665,Sarah Kiguli,Uganda
9670,Davinia Esther Anyakun,Uganda
9672,Diana Angwech,Uganda
9675,Donna Kusemererwa,Uganda
9680,Doreen Amule,Uganda
9682,Anne Juuko (Munnabyanfuna),Uganda
9683,Doris Akol,Uganda
9687,Elizabeth Beikiriize Karungi,Uganda
9688,Elizabeth Kabanda,Uganda
9691,Aisha Nakiyemba,Uganda
9692,Anne Kabagambe,Uganda
9693,Nakisuuyi Omulongoofu,Uganda
9697,Omumbejja Elizabeth ow'e Tooro,Uganda
9699,Angela Musiimenta,Uganda
9700,Angelina Atyam,Uganda
9702,Anna Bitature Mugenyi,Uganda
9703,Anne Mary Kobugabe Tumwine,Uganda
9707,Annie Logiel,Uganda
9712,Esther Nakajjigo,Uganda
9713,Evangeline Barongo,Uganda
9714,Evelyn Kaabule,Uganda
9717,Asiimwe Evarlyne Buregyeya,Uganda
9720,Bako Christine Abia,Uganda
9722,Flora Natumanya,Uganda
9723,Sophia Namutebi,Uganda
9731,Bangirana Kawooya Anifa,Uganda
9734,Barbara Ntambirweki,Uganda
9735,Barumba Beatrice Rusaniya,Uganda
9736,Geraldine Ssali Busuulwa,Uganda
9738,Florence Alice Lubega,Uganda
9740,Beatrice Atim Anywar,Uganda
9742,Hilda Tadria,Uganda
9743,Beatrice Lamwaka,Uganda
9744,Beatrice Rwakimari,Uganda
9745,Beatrice Wabudeya,Uganda
9746,Jacqueline Mbabazi,Uganda
9747,Esther Kalenzi,Uganda
9748,Elizabeth Nantale Mulondo,Uganda
9749,Ben Mary Muwanga,Uganda
9751,Goretti Kyomuhendo,Uganda
9753,Betty Lalam,Uganda
9754,Florence Nsubuga,Uganda
9756,Husnah Kukundakwe,Uganda
9758,Laura Kahunde,Uganda
9764,Grace Akallo,Uganda
9766,Grace Aluka,Uganda
9767,Grace Kesande Bataringaya,Uganda
9768,Grace Tubwita,Uganda
9769,Grace Ndeezi,Uganda
9776,Christine Dranzoa,Uganda
9777,Harriet Anena,Uganda
9778,Hellen Kahunde,Uganda
9779,Grace Kwiyucwiny,Uganda
9782,Hellen Baleke,Uganda
9783,Hilda Twongyeirwe,Uganda
9784,Ife Piankhi,Uganda
9785,Uganda,India; Uganda
10013,Zari Hassan,Uganda
10021,Zaitun Driwaru,Uganda
10022,Joy Doreen Biira,Uganda
10023,Jacinta Athieno Ayo,Uganda
10029,Iriama Margaret,Uganda
10030,Irene Manjeri,Uganda
10031,Oleru Huda,Uganda
10033,Josephine Karungi,Uganda
10086,Teddy Nambooze,Uganda
10088,Tete Chelangat,Uganda
10089,Veronica Isala Eragu Bichetero,Uganda
10092,Namirembe Bitamazire,Uganda
10094,Rosemary Seninde,Uganda
10098,Noerine Kaleeba,Uganda
10099,Susan Nalugwa Kiguli,Uganda
10102,Irene Mulyagonja,Uganda
10107,Dorothy Hyuha,Uganda
10109,Catherine Bamugemereire,Uganda
10116,Sylvia Namutebi,Uganda
10117,Betty Awori Engola,Uganda
10118,Enid Mirembe,Uganda
10121,Jane Kiggundu,Uganda
10125,Jacklet Atuhaire,Uganda
10128,Joan Kagezi,Uganda
10129,Jessica Naiga,Uganda
10130,Jessica Eriyo,Uganda
10135,Sylvia Rwabogo,Uganda
10147,Vanessa Nakate,Uganda
10149,Zahara Nampewo,Uganda
10154,Mariam Naigaga,Uganda
10155,Margaret Zziwa,Uganda
10158,Esther Opoti Dhugira,Uganda
10162,Mpiima Dorothy Christine,Uganda
10165,Masiko Winifred Komuhangi,Uganda
10166,Mary Goretti Kitutu,Uganda
10173,Margaret Sentamu Masagazi,Uganda
10179,Proscovia Nalweyiso,Uganda
10180,Annette Nkalubo,Uganda
10186,Nakisanze Segawa,Uganda
10201,Joe Oloka-Onyango,Uganda
10202,Geoffrey Ogwaro,Uganda
10203,Anup Singh Choudry,India
10204,Peter Takirambudde,Uganda
10205,Victor Mukasa,Uganda
10206,Nicholas Opiyo,Uganda
10208,Femrite,Uganda
10214,Uganda Law Society,Uganda
10216,Joint Energy Environment Projects,Uganda
10224,Ebyobulimi mu Uganda,Uganda
10231,Ekitongole kya Uganda Conservation Foundation,Uganda
10234,Najibu Kivumbi,Uganda
10237,Prince Wasajja Kiwanuka,Uganda
10240,Josephine Nambooze omusajja omulala,Uganda
10242,Kato Lubwama,Uganda
10243,Abby Mukiibi Nkaaga,Uganda
10248,User:Nabukeera Dorothy/Bebe Cool,Uganda
10249,User:Nabukeera Dorothy/AK 47 Mayanja,Uganda
10281,Nalwoga Cerinah Kasirye,Uganda
10290,Gautama Buddha,India; Uganda
10298,Ninsiima Ronah Rita,Uganda
10300,Adonia Katungisa,Uganda
10308,Betty Nakibuuka,Uganda
10423,Brian Lubega,Uganda
10433,James Mamawi,Uganda
10435,Rachael Magoola,Uganda
10436,Aloysius Mukasa,Uganda
10437,Alex Ruhunda,Uganda
10438,Irene Linda Mugisha,Uganda
10439,Margaret Annet Muhanga Mugisa,Uganda
10443,Phyllis Chemutai,Uganda
10444,Robina Gureme Rwakoojo,Uganda
10445,Aisha Kabanda,Uganda
10446,Lillian Obiale Paparu,Uganda
10449,Betty Aol Ochan,Uganda
10451,Sharon Balmoi Laker,Uganda
10452,Karitas Karisimbi,Uganda
10453,Victoria Rusoke Businge,Uganda
10454,Aisa Black Agaba,Uganda
10455,Helen Nakimuli,Uganda
10456,Rose Lilly Akello,Uganda
10458,Janepher Mbabazi Kyomuhendo,Uganda
10459,Tophace Kaawa,Uganda
10460,Omuyimbi Beatrice Byenkya,Uganda
10467,Connie Galiwango Nakayenze,Uganda
10468,Juliet Bashiisha Agasha,Uganda
10471,Jamila Mayanja,Uganda
10472,Zahara Nakiyaga,Uganda
10477,Ruth Doreen Mutebe,Uganda
10478,Rose Obinga,Uganda
10479,Olive Kobusingye,Uganda
10480,Joyce Kavuma,Uganda
10481,Grace Nakibaala,Uganda
10482,Abigaba Cuthbert Mirembe,Uganda
10483,Molly Musiime Asiimwe,Uganda
10485,Santa Okot,Uganda
10489,Margaret Lamwaka Odwar,Uganda
10492,Violet Kajubiri,Uganda
10493,Dorothy Okello,Uganda
10494,Zarina Bhimji,India
10500,Winnie Nantongo,Uganda
10501,Gertrude Nakabira,Uganda
10502,Milly Nassolo,Uganda
10503,Joyce Moriku,Uganda
10507,Violah Nambi,Uganda
10508,Thereza Piloya,Uganda
10509,Jeninah Karungi,Uganda
10511,Alice Nabatanzi,Uganda
10512,Lukia Isanga Nakadama,Uganda
10513,Agather Atuhaire,Uganda
10514,"Sandra Katushabe,",Uganda
10516,Joyce Namirimo Tamale,Uganda
10517,Jane Asinde,Uganda
10518,Hope Akello,Uganda
10519,Godiva Akullo,Uganda
10520,Bathsheba Okwenje,Uganda
10521,"Lydia Oile, omuyimbi",Uganda
10523,Joy Lehai Kanyarutokye,Uganda
10526,Christine Kitumba,Uganda
10527,Mariam Nabatanzi,Uganda
10528,Grace Oburu,Uganda
10531,Acaye Kerunen,Uganda
10532,Achia Remegio,Uganda
10533,Ajok Lucy,Uganda
10534,Rukiya Chekamondo,Uganda
10535,Prossy Tusabe,Uganda
10536,Laeticia Kikonyogo,Uganda
10537,Annettee Nakimuli,Uganda
10539,Sara Mulindwa,Uganda
10540,"Vanessa Erogbogbo, omuwandiisi w’ebitabo",Uganda
10541,Juliet Sekabunga Nalwanga,Uganda
10543,Jane Suuto,Uganda
10545,Thelma Awori,Uganda
10546,Miriam Muwanga,Uganda
10547,Miriam Mukhaye,Uganda
10548,Nakato Kyabangi Katusiime,Uganda
10549,Hashaka Kabahweza Florence,Uganda
10550,Akumu Catherine Mavenjina,Uganda
10551,Catherine Webombesa,Uganda
10552,Ritah Asiimwe,Uganda
10553,Lillian Bagala,Uganda
10554,Sarah Aguti Nyangkori,Uganda
10555,Hannah Karema Tumukunde,Uganda
10556,Freda Mubanda Kasse,Uganda
10557,Jane Frances Abodo,Uganda
10560,Catherine Adipo,Uganda
10561,Usher Komugisha,Uganda
10562,Immaculate Irumba,Uganda
10563,"Natasha Shirazi, omuwandiisi w’ebitabo",Uganda
10564,Rita Aciro,Uganda
10566,Jenifer Bamuturaki,Uganda
10567,Caroline Adoch,Uganda
10568,Christine Butegwa,Uganda
10569,Winifred Kiryabwire,Uganda
10572,Rowena Turinawe,Uganda
10573,Florence Nkurukenda,Uganda
10575,Rosemary Kerwegi,Uganda
10576,Agnes Kirabo,Uganda
10577,Victor Nekesa,Uganda
10578,Alintuma Nsambu,Uganda
10580,Mariam Fauzat Wangadya,Uganda
10581,Susan Nakawuki,Uganda
10582,Alice Komuhangi Khaukha,Uganda
10583,Beatrice Kiraso,Uganda
10584,Amoit Judith Mary,Uganda
10585,Okullo Aabuka Jallon,Uganda
10587,Damalie Nakanjako,Uganda
10590,Peace Kusasira,Uganda
10593,Lydia Chekwel,Uganda
10595,Justine Nabbosa,Uganda
10596,Jeninah Ntabgoba,Uganda
10598,Lillian Tibatemwa-Ekirikubinza,Uganda
10599,Tezira Jamwa,Uganda
10600,Hellen Asamo,Uganda
10601,Ann Maria Nankabirwa,Uganda
10602,Jovah Kamateeka,Uganda
10604,Monicah Amoding,Uganda
10605,Salim Saleh,Uganda
10606,Nana Kagga,Uganda
10607,Jovrine Kyomukama Kaliisa,Uganda
10608,Violet A. Akurut,Uganda
10609,Christine Ayo Achen,Uganda
10610,Sylvia Nanyonga,Uganda
10611,Goretti Angolikin,Uganda
10612,Jane Mulemwa,Uganda
10613,Regina Amollo,Uganda
10614,Cleopatra Koheirwe,Uganda
10615,Loy Katali,Uganda
10616,Nusura Tiperu,Uganda
10617,Rose Rwakasisi,Uganda
10618,Lillian Aujo,Uganda
10619,Dora Byamukama,Uganda
10620,Justine Khainza,Uganda
10621,Nyana Kakoma,Uganda
10623,Olivia Aya Nakitanda,Uganda
10624,Maria Musoke,Uganda
10625,Monica Birwinyo,Uganda
10627,Joyce Kakuramatsi Kikafunda,Uganda
10628,Susan Jolly Abeja,Uganda
10629,Rosette Kajungu Mutambi,Uganda
10630,User:Nabukeera Dorothy/Rosette Kajungu Mutambi,Uganda
10631,Lowila CD Oketayot,Uganda
10632,Margaret Baba Diri,Uganda
10633,Jessica Ejjembe,Uganda
10634,Margaret Mbeiza Kisira,Uganda
10635,Naome Bagenda,Uganda
10636,Jackee Budesta Batanda,Uganda
10637,Judy Obitre–Gama,Uganda
10638,Julie Mukoda Zabwe,Uganda
10639,Joy Kabatsi,Uganda
10640,Philippa Namutebi Kabali-Kagwa,Uganda
10641,Rose Mutonyi Masaaba,Uganda
10642,Lilly Adong,Uganda
10643,Jane Nabulindo Kwoba,Uganda
10645,Gloria Kamba,Uganda
10646,Mary Mugyenyi,Uganda
10647,Josephine Nabukenya,Uganda
10648,Maud Kamatenesi Mugisha,Uganda
10649,Oyenbot,Uganda
10651,Pumla Kisosonkole,Uganda
10652,Aisha Sematiko,Uganda
10653,Jane Kaberuka,Uganda
10654,Elizabeth Ibanda-Nahamya,Uganda
10655,Rama Jacqueline Aol,Uganda
10656,Fauziah Nakiboneka,Uganda
10657,Anne Atai Omoruto,Uganda
10658,Jamila Lunkuse,Uganda
10661,Godliver Businge,Uganda
10662,Stella Arach-Amoko,Uganda
10663,Sarah Nambawa,Uganda
10664,Lillian Tindyebwa,Uganda
10665,Patricia Apolot,Uganda
10666,Christine Akello,Uganda
10669,Rose Akol,Uganda
10670,Patricia Ojangole,Uganda
10672,Leah Kalanguka,Uganda
10673,Nyakisi Adero,Uganda
10674,Juliet Chekwel,Uganda
10678,Rose Kirumira,Uganda
10679,Victoria Nyanjura,Uganda
10680,Jennifer Nansubuga Makumbi,Uganda
10681,Mariam Najjemba,Uganda
10682,Hope Ekudu,Uganda
10683,Ziria Tibalwa Waako,Uganda
10684,Leni Shida,Uganda
10685,Irene Birungi,Uganda
10686,Molly Nawe Kamukama,Uganda
10687,Grania Rubomboras,Uganda
10688,Peace Butera,Uganda
10689,Bernadette Olowo,Uganda
10690,Katie Kibuka,Uganda
10691,Philippa Ngaju Makabore,Uganda
10692,Irene Ovonji-Odida,Uganda
10696,Queen of Katwe,Uganda
10697,Proscovia Margaret Njuki,Uganda
10698,Anita Fabiola,Uganda
10699,Rebecca Amuge Otengo,Uganda
10700,Phiona Nyamutoro,Uganda
10702,Catherine Amusugut,Uganda
10703,Pauline Irene Batebe,Uganda
10704,Bad Black,Uganda
10705,Cissy Kityo,Uganda
10706,Nimisha Madhvani,Uganda
10707,Christine Nyangoma,Uganda
10708,Proscovia Nabbanja,Uganda
10709,Harriet Mayanja-Kizza,Uganda
10710,Angela Atim Lakor,Uganda
10711,Agnes Konde,Uganda
10712,Rosemary Tumusiime,Uganda
10713,Olive Kazaarwe Mukwaya,Uganda
10714,Suzan Mutesi,Uganda
10715,Oliver Wonekha,Uganda
10716,Penina Kasule,Uganda
10717,Agnes Tibayeita Isharaza,Uganda
10718,Nisha Kalema,Uganda
10719,"Florence Ndagire,",Uganda
10720,Stella Atal,Uganda
10721,Elizabeth Mpagi Bahigeine,Uganda
10722,Juliane Okot Bitek,Uganda
10733,Viboyo,Uganda
10734,Samuel Sserunkuuma,Uganda
10735,Elly Sabiiti,Uganda
10755,Gideon Bagadawa,Uganda
10756,Anthony Masake,Uganda
10766,Barbara Kemigisa,Uganda
10799,Ricky Richard Anywar,Uganda
10803,Pauline Byakika,Uganda
10811,Abel Dhaira,Uganda
10822,Crispus Kiyonga,Uganda
10834,"Jane Awich, omuwandiisi w’ebitabo",Uganda
10836,Zziwa,Uganda
10838,Nathan Ahimbisibwe,Uganda
10839,Simyoni Masaba,Uganda
10845,John Wilson Nattubu Tsekooko,Uganda
10853,Omusajja w’emmwanyi,Uganda
10860,Joseph Kizito,Uganda
10861,Stephen Kaziimba,Uganda
10866,Amos Magezi,Uganda
10871,Balaam Barugahara,Uganda
10874,Emmanuel Tumusiime-Mutebile,Uganda
10875,Louis Kasekende,Uganda
10880,Fred Masagazi,Uganda
10884,Asan Kasingye,Uganda
10885,Shamirah Nabadda,Uganda
10886,Kololo Senior Secondary School,India; Uganda
10891,Elioda Tumwesigye,Uganda
10898,Fik Fameica,Uganda
10899,Stephen Malinga,Uganda
10901,Humphrey Nabimanya,Uganda
10904,Mbale,Uganda; India
10908,Asuman Kiyingi,Uganda
10920,Henry Katumba Tamale,Uganda
10929,Richard Buteera,Uganda
10933,Allan Kateregga,Uganda
10934,"Elly Tumwine, omuwandiisi w’ebitabo",Uganda
10935,John Musinguzi Rujoki,Uganda
10941,David Sejusa,Uganda
10953,Serverus Jjumba,Uganda
10955,Alex Kakuba,Uganda
10957,Joseph Anthony Zziwa,Uganda
10960,Lambert Bainomugisha,Uganda
10961,Robert Odongkara,Uganda
10962,Andrew Mwesigwa,Uganda
10965,Male Mabirizi,Uganda
10970,Zziwa Kennedy,Uganda
10971,Augustine Nshimye,Uganda
10972,Richard Byarugaba,Uganda
10973,Christopher Izama Madrama,Uganda
10975,Charles Barugahare,Uganda
10989,Omutukuvu Nelly-Sade,Uganda
10993,Wilson Mbadi,Uganda
10995,Geoffrey Tumusiime,Uganda
10996,Isaac Musumba,Uganda
10997,James Kazini,Uganda
11003,Geoffrey Kiryabwire,Uganda
11014,Martin Ssempa,Uganda
11025,Kenneth Kakuru,Uganda
11033,Adolf Mwesige,Uganda
11034,Erias Lukwago,Uganda
11050,Henry Tumukunde,Uganda
11051,Kale Kayihura,Uganda
11053,Travis Mutyaba,Uganda
11075,Morley Byekwaso,Uganda
11076,Abdallah Mubiru,Uganda
11086,Lilian Mary Nabulime,Uganda
11115,Gomesi,India
11141,Anne Nassanga,Uganda
11143,Godfrey Makumbi,Uganda
11146,"Janat Chemusto, omuwandiisi w’ebitabo",Uganda
11147,Janat Chemusto,Uganda
